type,image,truth,pred,recomputed_pred,correct,crop_path,column,chosen_digit,filled_digits,argmax_digit,min_count,threshold,count_0,count_1,count_2,count_3,count_4,count_5,count_6,count_7,count_8,count_9
mssv,df7a73f65ed1df8f86c0.jpg,36128594,3612?5??,3612?5??,False,data\eval_artifacts\df7a73f65ed1df8f86c0\crops\mssv.png,1,3,3,3,318,438,318,347,381,579,385,408,404,373,413,412
mssv,df7a73f65ed1df8f86c0.jpg,36128594,3612?5??,3612?5??,False,data\eval_artifacts\df7a73f65ed1df8f86c0\crops\mssv.png,2,6,6,6,332,452,332,347,362,390,380,392,569,368,403,413
mssv,df7a73f65ed1df8f86c0.jpg,36128594,3612?5??,3612?5??,False,data\eval_artifacts\df7a73f65ed1df8f86c0\crops\mssv.png,3,1,1,1,367,487,405,545,397,396,367,393,399,373,417,416
mssv,df7a73f65ed1df8f86c0.jpg,36128594,3612?5??,3612?5??,False,data\eval_artifacts\df7a73f65ed1df8f86c0\crops\mssv.png,4,2,2,2,365,485,408,365,530,406,388,418,427,370,412,411
mssv,df7a73f65ed1df8f86c0.jpg,36128594,3612?5??,3612?5??,False,data\eval_artifacts\df7a73f65ed1df8f86c0\crops\mssv.png,5,?,,8,368,488,395,382,368,408,405,408,410,368,456,413
mssv,df7a73f65ed1df8f86c0.jpg,36128594,3612?5??,3612?5??,False,data\eval_artifacts\df7a73f65ed1df8f86c0\crops\mssv.png,6,5,5,5,362,482,406,362,400,379,385,490,415,363,397,411
mssv,df7a73f65ed1df8f86c0.jpg,36128594,3612?5??,3612?5??,False,data\eval_artifacts\df7a73f65ed1df8f86c0\crops\mssv.png,7,?,,9,359,479,407,364,370,396,389,398,402,359,391,428
mssv,df7a73f65ed1df8f86c0.jpg,36128594,3612?5??,3612?5??,False,data\eval_artifacts\df7a73f65ed1df8f86c0\crops\mssv.png,8,?,,6,358,478,407,374,400,400,389,394,413,358,390,395
mssv,13f0147f3958b806e149.jpg,72405916,7240591?,7240591?,False,data\eval_artifacts\13f0147f3958b806e149\crops\mssv.png,1,7,7,7,345,465,353,345,362,366,364,372,383,474,386,363
mssv,13f0147f3958b806e149.jpg,72405916,7240591?,7240591?,False,data\eval_artifacts\13f0147f3958b806e149\crops\mssv.png,2,2,2,2,338,458,372,341,511,363,359,375,372,338,374,373
mssv,13f0147f3958b806e149.jpg,72405916,7240591?,7240591?,False,data\eval_artifacts\13f0147f3958b806e149\crops\mssv.png,3,4,4,4,350,470,388,353,382,370,517,386,391,350,382,379
mssv,13f0147f3958b806e149.jpg,72405916,7240591?,7240591?,False,data\eval_artifacts\13f0147f3958b806e149\crops\mssv.png,4,0,0,0,346,466,530,346,378,378,376,386,391,349,378,385
mssv,13f0147f3958b806e149.jpg,72405916,7240591?,7240591?,False,data\eval_artifacts\13f0147f3958b806e149\crops\mssv.png,5,5,5,5,349,469,392,354,369,373,357,499,378,349,377,374
mssv,13f0147f3958b806e149.jpg,72405916,7240591?,7240591?,False,data\eval_artifacts\13f0147f3958b806e149\crops\mssv.png,6,9,9,9,337,457,383,354,369,371,363,377,379,337,375,467
mssv,13f0147f3958b806e149.jpg,72405916,7240591?,7240591?,False,data\eval_artifacts\13f0147f3958b806e149\crops\mssv.png,7,1,1,1,340,460,376,539,366,364,357,369,377,340,375,373
mssv,13f0147f3958b806e149.jpg,72405916,7240591?,7240591?,False,data\eval_artifacts\13f0147f3958b806e149\crops\mssv.png,8,?,,6,339,459,366,339,373,371,363,369,443,340,366,368
mssv,46c379db55fcd4a28ded.jpg,72405916,?240591?,?240591?,False,data\eval_artifacts\46c379db55fcd4a28ded\crops\mssv.png,1,?,,7,346,466,365,346,368,365,351,365,371,458,376,365
